day,emissions
2018-11-13 00:00:00,9270.026281810
2018-11-14 00:00:00,9267.805184514
2018-11-15 00:00:00,9265.584619395
2018-11-16 00:00:00,9263.364586321
2018-11-17 00:00:00,9261.145085167
2018-11-18 00:00:00,9258.926115807
2018-11-19 00:00:00,9256.707678109
2018-11-20 00:00:00,9254.489771951
2018-11-21 00:00:00,9252.272397202
2018-11-22 00:00:00,9250.055553736
2018-11-23 00:00:00,9247.839241425
2018-11-24 00:00:00,9245.623460142
2018-11-25 00:00:00,9243.408209761
2018-11-26 00:00:00,9241.193490153
2018-11-27 00:00:00,9238.979301192
2018-11-28 00:00:00,9236.765642750
2018-11-29 00:00:00,9234.552514701
2018-11-30 00:00:00,9232.339916916
2018-12-01 00:00:00,9230.127849270
2018-12-02 00:00:00,9227.916311636
2018-12-03 00:00:00,9225.705303884
2018-12-04 00:00:00,9223.494825892
2018-12-05 00:00:00,9221.284877528
2018-12-06 00:00:00,9219.075458668
2018-12-07 00:00:00,9216.866569185
2018-12-08 00:00:00,9214.658208951
2018-12-09 00:00:00,9212.450377840
2018-12-10 00:00:00,9210.243075726
2018-12-11 00:00:00,9208.036302481
2018-12-12 00:00:00,9205.830057978
2018-12-13 00:00:00,9203.624342091
2018-12-14 00:00:00,9201.419154693
2018-12-15 00:00:00,9199.214495659
2018-12-16 00:00:00,9197.010364861
2018-12-17 00:00:00,9194.806762171
2018-12-18 00:00:00,9192.603687465
2018-12-19 00:00:00,9190.401140615
2018-12-20 00:00:00,9188.199121495
2018-12-21 00:00:00,9185.997629979
2018-12-22 00:00:00,9183.796665940
2018-12-23 00:00:00,9181.596229251
2018-12-24 00:00:00,9179.396319788
2018-12-25 00:00:00,9177.196937421
2018-12-26 00:00:00,9174.998082028
2018-12-27 00:00:00,9172.799753479
2018-12-28 00:00:00,9170.601951649
2018-12-29 00:00:00,9168.404676414
2018-12-30 00:00:00,9166.207927644
2018-12-31 00:00:00,9164.011705215
2019-01-01 00:00:00,9161.816009001
2019-01-02 00:00:00,9159.620838877
2019-01-03 00:00:00,9157.426194713
2019-01-04 00:00:00,9155.232076387
2019-01-05 00:00:00,9153.038483771
2019-01-06 00:00:00,9150.845416740
2019-01-07 00:00:00,9148.652875167
2019-01-08 00:00:00,9146.460858928
2019-01-09 00:00:00,9144.269367894
2019-01-10 00:00:00,9142.078401942
2019-01-11 00:00:00,9139.887960946
2019-01-12 00:00:00,9137.698044778
2019-01-13 00:00:00,9135.508653314
2019-01-14 00:00:00,9133.319786429
2019-01-15 00:00:00,9131.131443995
2019-01-16 00:00:00,9128.943625888
2019-01-17 00:00:00,9126.756331983
2019-01-18 00:00:00,9124.569562151
2019-01-19 00:00:00,9122.383316272
2019-01-20 00:00:00,9120.197594214
2019-01-21 00:00:00,9118.012395857
2019-01-22 00:00:00,9115.827721073
2019-01-23 00:00:00,9113.643569736
2019-01-24 00:00:00,9111.459941722
2019-01-25 00:00:00,9109.276836905
2019-01-26 00:00:00,9107.094255159
2019-01-27 00:00:00,9104.912196361
2019-01-28 00:00:00,9102.730660382
2019-01-29 00:00:00,9100.549647101
2019-01-30 00:00:00,9098.369156388
2019-01-31 00:00:00,9096.189188123
2019-02-01 00:00:00,9094.009742176
2019-02-02 00:00:00,9091.830818425
2019-02-03 00:00:00,9089.652416744
2019-02-04 00:00:00,9087.474537007
2019-02-05 00:00:00,9085.297179091
2019-02-06 00:00:00,9083.120342869
2019-02-07 00:00:00,9080.944028216
2019-02-08 00:00:00,9078.768235009
2019-02-09 00:00:00,9076.592963121
2019-02-10 00:00:00,9074.418212429
2019-02-11 00:00:00,9072.243982806
2019-02-12 00:00:00,9070.070274128
2019-02-13 00:00:00,9067.897086271
2019-02-14 00:00:00,9065.724419109
2019-02-15 00:00:00,9063.552272519
2019-02-16 00:00:00,9061.380646374
2019-02-17 00:00:00,9059.209540551
2019-02-18 00:00:00,9057.038954924
2019-02-19 00:00:00,9054.868889369
2019-02-20 00:00:00,9052.699343763
2019-02-21 00:00:00,9050.530317978
2019-02-22 00:00:00,9048.361811893
2019-02-23 00:00:00,9046.193825380
2019-02-24 00:00:00,9044.026358318
2019-02-25 00:00:00,9041.859410580
2019-02-26 00:00:00,9039.692982043
2019-02-27 00:00:00,9037.527072581
2019-02-28 00:00:00,9035.361682072
2019-03-01 00:00:00,9033.196810390
2019-03-02 00:00:00,9031.032457410
2019-03-03 00:00:00,9028.868623010
